"","i","j"
"1","FGRA","GRAS"
"2","FMAI","MAIF"
"3","FOFA","OFAR"
"4","FROO","ROOF"
"5","FCOM","COMF"
"6","FSGM","SGMF"
"7","FSTR","STRA"
"8","FCER","SWHE"
"9","FCER","DWHE"
"10","FCER","RYEM"
"11","FCER","BARL"
"12","FCER","OATS"
"13","FCER","MAIZ"
"14","FCER","OCER"
"15","FCER","PARI"
"16","FCER","RICE"
"17","FPRO","PULS"
"18","FPRO","RAPO"
"19","FPRO","SUNO"
"20","FPRO","SOYO"
"21","FPRO","OLIO"
"22","FPRO","OTHO"
"23","FPRO","RAPC"
"24","FPRO","SUNC"
"25","FPRO","SOYC"
"26","FPRO","OLIC"
"27","FPRO","OTHC"
"28","FPRO","DDGS"
"29","FPRO","FPRI"
"30","FENE","MOLA"
"31","FENE","STAR"
"32","FENE","FENI"
"33","FMIL","WHEP"
"34","FMIL","CASE"
"35","FMIL","WMIO"
"36","FMIL","BUTT"
"37","FMIL","SMIP"
"38","FMIL","CHES"
"39","FMIL","FRMI"
"40","FMIL","CREM"
"41","FMIL","COCM"
"42","FOTH","RAPE"
"43","FOTH","SUNF"
"44","FOTH","SOYA"
"45","FOTH","OOIL"
"46","FOTH","OLIV"
"47","FOTH","POTA"
"48","FOTH","TEXT"
"49","FOTH","TOMA"
"50","FOTH","OVEG"
"51","FOTH","APPL"
"52","FOTH","OFRU"
"53","FOTH","CITR"
"54","FOTH","TAGR"
"55","FOTH","TABO"
"56","FOTH","TWIN"
"57","FOTH","BEEF"
"58","FOTH","PORK"
"59","FOTH","EGGS"
"60","FOTH","SUGA"
